date,country,rgdpmad,debtgdp,year,country_name,gov_revenue_gdp
2002,DEU,19140.37834615822,0.597035,2002,Germany,44.158
2003,DEU,19087.572240241872,0.633089,2003,Germany,44.684
2004,DEU,19283.670487293424,0.649877,2004,Germany,43.551
2005,DEU,19417.057021603057,0.6734650000000001,2005,Germany,43.496
2006,DEU,20040.620318052523,0.6670470000000001,2006,Germany,43.554
2007,DEU,20546.93610742278,0.639942,2007,Germany,43.695
2008,DEU,20801.437443847575,0.655222,2008,Germany,44.155
2009,DEU,19789.8454371839,0.729901,2009,Germany,45.117
2010,DEU,20661.445435680802,0.8238160000000001,2010,Germany,43.695
2011,DEU,21432.681417956832,0.79801,2011,Germany,44.435
2012,DEU,21483.78039850607,0.811354,2012,Germany,45.029
2013,DEU,21517.887790133365,0.787169,2013,Germany,45.273
2014,DEU,21903.314593546904,0.756694,2014,Germany,45.229
2015,DEU,22037.585410165313,0.72207,2015,Germany,45.421
2016,DEU,22347.948539301782,0.6927679999999999,2016,Germany,45.852
2017,DEU,22861.229874936176,0.6465770000000001,2017,Germany,45.904
2018,DEU,23040.320451191405,0.612715,2018,Germany,46.573
2019,DEU,23229.87496788937,0.5892499999999999,2019,Germany,46.892
2020,DEU,22152.35037955646,0.687242,2020,Germany,46.749
1960,FRA,7397.582861068177,0.285,1960,France,
1961,FRA,7718.426413172637,0.2631,1961,France,
1962,FRA,8067.063153735782,0.2361,1962,France,
1963,FRA,8362.67136621652,0.2217,1963,France,
1964,FRA,8819.336669570679,0.1959,1964,France,
1965,FRA,9165.415043572548,0.1759,1965,France,
1966,FRA,9544.135790185856,0.1531,1966,France,
1967,FRA,9907.186574531095,0.1605,1967,France,
1968,FRA,10267.018066387114,0.1583,1968,France,
1969,FRA,10885.56440645036,0.1439,1969,France,
1970,FRA,11410.088986478679,0.2102,1970,France,
1971,FRA,11844.961092462618,0.2006,1971,France,
1972,FRA,12263.545959844218,0.1771,1972,France,
1973,FRA,12824.42390264939,0.1583,1973,France,
1974,FRA,13112.534922704413,0.1542,1974,France,
1975,FRA,12957.205078305997,0.1609,1975,France,
1976,FRA,13466.38601155856,0.151,1976,France,
1977,FRA,13912.703666924124,0.1499,1977,France,
1978,FRA,14240.210981282737,0.1724,1978,France,
1979,FRA,14634.38252243052,0.1982,1979,France,
1980,FRA,14766.158591907095,0.21024500000000002,1980,France,47.613
1981,FRA,14839.906857524504,0.22240400000000002,1981,France,48.23
1982,FRA,15131.64084241521,0.255791,1982,France,49.169
1983,FRA,15245.114341397128,0.26921900000000004,1983,France,50.008
1984,FRA,15381.929381644917,0.29345,1984,France,50.806
1985,FRA,15530.270844397239,0.30958800000000003,1985,France,51.179
1986,FRA,15833.036579991185,0.315277,1986,France,50.177
1987,FRA,16157.8901191458,0.33842500000000003,1987,France,50.764
1988,FRA,16789.572963059996,0.33715200000000006,1988,France,49.447
1989,FRA,17299.70080074713,0.34435000000000004,1989,France,49.084
1990,FRA,17647.005226241236,0.355535,1990,France,49.156
1991,FRA,17724.135385347323,0.363396,1991,France,49.836
1992,FRA,17879.522485037523,0.400874,1992,France,49.368
1993,FRA,17666.018468576247,0.46488500000000005,1993,France,50.14
1994,FRA,17978.199665246746,0.497684,1994,France,50.424
1995,FRA,18261.961310969225,0.561059,1995,France,50.942
1996,FRA,18373.417686711593,0.599984,1996,France,52.121
1997,FRA,18690.444261468547,0.61425,1997,France,51.857
1998,FRA,19233.28587051337,0.613474,1998,France,51.587
1999,FRA,19771.39216905727,0.604965,1999,France,52.112
2000,FRA,20391.877068945985,0.588824,2000,France,51.306
2001,FRA,20648.034421101213,0.583439,2001,France,51.405
2002,FRA,20719.525661469477,0.60258,2002,France,50.749
2003,FRA,20789.046927320785,0.644127,2003,France,50.266
2004,FRA,21193.399751471257,0.659391,2004,France,50.445
2005,FRA,21450.00068291843,0.6738299999999999,2005,France,50.756
2006,FRA,21841.591885557165,0.646108,2006,France,51.092
2007,FRA,22202.17253075663,0.645355,2007,France,50.641
2008,FRA,22057.35045104924,0.687783,2008,France,50.78
2009,FRA,21244.207306860604,0.830389,2009,France,50.612
2010,FRA,21477.477402452558,0.852569,2010,France,50.559
2011,FRA,21842.23668701559,0.878344,2011,France,51.709
2012,FRA,21818.118066179795,0.90604,2012,France,52.721
2013,FRA,21841.280960321226,0.9341320000000001,2013,France,53.654
2014,FRA,21940.470687708923,0.948887,2014,France,53.82
2015,FRA,22075.0075993006,0.955797,2015,France,53.708
2016,FRA,22243.41154401061,0.979568,2016,France,53.616
2017,FRA,22726.543640919506,0.981321,2017,France,54.3
2018,FRA,23071.73251827475,0.977815,2018,France,54.048
2019,FRA,23443.58862098411,0.9745910000000001,2019,France,52.953
2020,FRA,21525.949965130512,1.150422,2020,France,52.766
1960,GBR,8645.23027571985,1.179443546328597,1960,United Kingdom,
1961,GBR,8856.666729789611,1.137516613637279,1961,United Kingdom,
1962,GBR,8865.383171958267,1.1052126306049272,1962,United Kingdom,
1963,GBR,9149.18414918415,1.0855433082323838,1963,United Kingdom,
1964,GBR,9567.965031208905,1.0108108108108107,1964,United Kingdom,
1965,GBR,9751.536338546459,0.9460615480261112,1965,United Kingdom,
1966,GBR,9885.310103764434,0.9194929428680418,1966,United Kingdom,
1967,GBR,10048.890991466365,0.8914785081117244,1967,United Kingdom,
1968,GBR,10409.950374904916,0.8854834114630546,1968,United Kingdom,
1969,GBR,10551.684967815221,0.8283739639200389,1969,United Kingdom,
1970,GBR,10767.471958584987,0.7323539180302461,1970,United Kingdom,
1971,GBR,10941.474233995743,0.6555450998843341,1971,United Kingdom,
1972,GBR,11293.924642022861,0.6204161833699773,1972,United Kingdom,
1973,GBR,12025.280199252802,0.5456218471233931,1973,United Kingdom,
1974,GBR,11858.903671030164,0.5160144042183782,1974,United Kingdom,
1975,GBR,11847.087076403095,0.4667777969771201,1975,United Kingdom,
1976,GBR,12114.952140340889,0.48884433921504244,1976,United Kingdom,
1977,GBR,12383.613093860695,0.5045863978183621,1977,United Kingdom,
1978,GBR,12827.834849644809,0.51626111676186,1978,United Kingdom,
1979,GBR,13167.283204097603,0.487397833538087,1979,United Kingdom,
1980,GBR,12931.49128103136,0.42568,1980,United Kingdom,36.203
1981,GBR,12747.426302481243,0.44778,1981,United Kingdom,37.624
1982,GBR,12954.64740105841,0.4305,1982,United Kingdom,38.6
1983,GBR,13404.466833690942,0.41852,1983,United Kingdom,37.249
1984,GBR,13720.057238973992,0.42241999999999996,1984,United Kingdom,37.127
1985,GBR,14164.54610577419,0.41305000000000003,1985,United Kingdom,36.951
1986,GBR,14741.815746318507,0.41274,1986,United Kingdom,35.982
1987,GBR,15393.437392618882,0.39335000000000003,1987,United Kingdom,34.822
1988,GBR,16109.99642527258,0.37079999999999996,1988,United Kingdom,34.555
1989,GBR,16413.722920989137,0.32539,1989,United Kingdom,34.241
1990,GBR,16429.911584495658,0.28559,1990,United Kingdom,33.505
1991,GBR,16155.29227957883,0.28498,1991,United Kingdom,33.124
1992,GBR,16133.494698974384,0.33241,1992,United Kingdom,32.416
1993,GBR,16458.296159635553,0.37994,1993,United Kingdom,31.174
1994,GBR,17117.9416871969,0.4079,1994,United Kingdom,31.767
1995,GBR,17585.527396276437,0.43738,1995,United Kingdom,32.643
1996,GBR,18044.003183377976,0.43845999999999996,1996,United Kingdom,32.069
1997,GBR,19115.072462085736,0.43267000000000005,1997,United Kingdom,32.778
